cluster,sample_wallet,funding_pattern,notes
1,J6285GUWnbt8EMa6aap5m6oodqtvbpZB9o7J1ZdfRYtr,debridge_primary_evm,Cash-out path starts here. Arkham tracer https://arkm.com/tracer/00faed5d-4e1b-46d3-a604-f5c2c2d12bdf
2,D5VmaMsFvEE6DhKvF74VNypvNdB4gycvWLXAk36cszhA,debridge_primary_evm,
3,3UUuoUJxgwzBb9SJu97LcBmC9tdRnCGt7qg1tzHY7JXi,debridge_primary_evm,
4,7GeLzpaKgWguhSdzKXUxhZJN19X9TsVDegGJewfjzCuF,debridge_primary_evm,
5,6uhaqbixrnHtSALAAzEmemxUgy8W7ALEJWzVLSjzSZNS,debridge_primary_evm,
6,5SYnefTXzKTbHLcz4LbbhatuJJKaJcQhAsWmNvTmrdvY,debridge_primary_evm,
7,3Rcv6hGNrKS6n5ecGRx6zHT72aQaVDq6r4J1V34jfBG6,debridge_primary_evm,
8,2aD3vukDktzTzNc2m84trz3P74jmiktcV4h3YC2S6ugW,debridge_primary_evm,
9,9rqP7TkK9n2pGzYsSeyeTqG3Wr8MSwASYyYNGxpapHjM,debridge_fee_dust,0.08 SOL dust from 0x4a2fa18a171e00069b8831c613ebd106fcb37388
10,C39vL9bXZpf9ijLXsaYavxtmVtUH9gKHaGX7QkL2RpsT,debridge_primary_evm,
11,CxUaTyKrJYX7cyi9kbBdNUdhjLBT1A2baJnN5J5zozkF,debridge_primary_evm,
12,HfYASS5V87r4YBwvdDKN3sKrfDfaHddHtFnv9qZEk2qs,debridge_primary_evm,
13,6TxW4rKSrUQN2vnjKWC9vE1xstXbqyqHXn27k8591YmD,debridge_primary_evm,
14,7xiwqf9zTs4BqaDDXXifyrYj7Eae2gjWYfpTdVkrH13n,debridge_primary_evm,
15,Gx1CwhFczzi6kKkZDWD9WcMQSzbdFagpy8PRRzMqrPTj,debridge_fee_dust,0.08 SOL dust from 0x4a2fa18a171e00069b8831c613ebd106fcb37388
16,GBq2dRSikNna4BAco1hnT95jPvPpF7N71Ly5tqC5eavP,debridge_primary_evm,
17,BBD9UPU6QMGGRby97TQ1HEEoE1PGfKZJehgmb7voGF9X,debridge_primary_evm,
18,92FkvhKznaWtSfJeUwzcXXnoLfeeBogYpTjk56ySxXG9,kelsier_labelled_solana,Funded by DQ6r7i7VydwDRijiZ5XGEKWKVh21kVobvMdvQcj4upfb
19,EbvBUC4EAxyzPvpH5gMsC6bm4dLCBdjiifDoof2uY8XM,debridge_other_evm,Source 0x8a83e661a86e31c6b337b5d7bc10ced9a645d2c7
20,BrskxBEHT89S6q6PRWekoprYDYDpHYyDbsnFF3Nr5xqG,divergent,Does not follow the main operational pattern
independent_lookalike,sJJKPpXknWMD5KirZ9WpxGzh8VeMKXrpy48uzYRUgcV,debridge_primary_evm,Looks unclustered on Bubblemaps but shares the primary EVM funder
